Season,TEAM,W,L,WIN_RATIO,MIN,PTS,FGM,FGA,FG_PCT,Three_PM,Three_PA,Three_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus_Minus,PTS_OFF_TO,Second_Points,FBPS,PITP,OPPO_PTS_OFF_TO,OPPO_Second_Points,OPPO_FBPS,OPPO_PITP
2016,CLE,57,25,0.695,48.4,104.3,38.7,84,46,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6,16.3,13.2,11.8,41.0,15.5,11.2,11.2,40.8
2016,TOR,56,26,0.683,48.2,102.7,36.7,81.3,45.1,8.6,23.4,37,20.8,26.7,77.7,10.2,33.2,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22,4.5,16.7,12.3,11.0,42.1,14.2,11.6,11,40.1
2016,OKC,55,27,0.671,48.4,110.2,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23,15.9,7.4,5.9,4.5,20.6,20.2,7.3,15.1,15.8,17.3,47.7,17.6,13.9,13.2,45.2
2016,LAC,53,29,0.646,48.4,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42,22.8,13,8.6,5.6,3.2,21.3,22.5,4.3,16.9,10.6,12.9,37.7,14.5,13.8,12.4,41.3
2016,MIA,48,34,0.585,48.4,100,38.4,81.7,47,6.1,18,33.6,17.1,23,74.4,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,1.6,14.8,12.7,11.1,46.4,15.6,13,10.7,42
2016,BOS,48,34,0.585,48.2,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21,3.2,18.8,14.3,16.3,45.9,14.8,14.2,10.8,43
2016,CHA,48,34,0.585,48.4,103.4,37,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79,9,35,43.9,21.7,12.5,7.3,5.3,5.5,18.1,20.4,2.7,15.9,11.4,11.1,37.6,14.1,11.4,12.4,40
2016,ATL,48,34,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35,15.6,20,78.3,8.3,33.8,42.1,25.6,15,9.1,5.9,5,19.1,18.3,3.6,18.5,10.7,14.8,43.4,16,13.1,11.9,40.9
2016,IND,45,37,0.549,48.5,102.2,38.3,85.2,45,8.1,23,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,14.9,9,4.8,4.5,20,20.4,1.7,18.9,12.9,13.4,40.9,16.3,13,12.2,41.6
2016,DET,44,38,0.537,48.5,102,37.9,86.4,43.9,9,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,13.5,7,3.7,4.5,19,21.6,0.6,15.4,14.9,11.1,43.5,14.6,10.7,10.4,44.4
2016,POR,44,38,0.537,48.3,105.1,38.6,85.9,45,10.5,28.5,37,17.4,23,75.4,11.6,33.9,45.5,21.3,14.6,6.9,4.6,5.2,21.7,19.5,0.8,14.8,14.1,10.7,39.1,16.3,12.4,11.1,40.9
2016,DAL,42,40,0.512,48.8,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,12.8,6.8,3.7,4.4,19.5,21.4,-0.3,16.0,10.6,11.2,38.0,14.8,13.4,16,40.9
2016,CHI ,42,40,0.512,48.5,101.6,38.6,87.4,44.1,7.9,21.4,37.1,16.5,21,78.7,11.1,35.2,46.3,22.8,13.9,6,5.7,5.7,18.8,18.7,-1.5,13.3,13.6,10.2,41.0,16,14.3,13.8,44.4
2016,MEM,42,40,0.512,48.4,99.1,36.8,83.6,44,6.1,18.5,33.1,19.3,24.7,78.3,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,-2.2,17.9,12.9,12.6,44.0,15.1,11.8,14.6,38.5
2016,HOU,41,41,0.5,48.4,106.5,37.7,83.5,45.2,10.7,30.9,34.7,20.4,29.4,69.4,11.3,31.7,43.1,22.2,15.9,10,5.2,4.9,21.8,22.5,0.2,18.9,13.9,18.1,45.7,19.5,14.7,14.4,44.6
2016,WSH,41,41,0.5,48.2,104.1,39.5,85.8,46,8.6,24.2,35.8,16.5,22.5,73,9.1,32.8,41.8,24.5,14.5,8.6,3.9,4.3,20.8,20.1,-0.5,17.5,10.6,18.6,42.4,15.7,11.7,12.7,41.2
2016,UTAH,40,42,0.488,48.7,97.7,36.1,80.4,44.9,8.5,23.9,35.5,17.1,23,74.4,10.7,32.5,43.2,19,14.9,7.7,5.2,4.7,20.2,19.9,1.8,15.6,13.5,9.3,41.8,16,11.5,11.7,39.6
2016,ORL,35,47,0.427,48.5,102.1,39.5,86.8,45.5,7.8,22.2,35,15.2,20.1,75.7,10.3,33,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,-1.6,17.8,12.6,12.3,43.6,16,11.4,13.2,43.5
2016,MIL,33,49,0.402,48.4,99,38.4,82.2,46.7,5.4,15.6,34.5,17,22.7,74.7,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,-4.2,18.5,12.1,13.8,50.6,17.7,14.1,13,44
2016,DEN,33,49,0.402,48.4,101.9,37.7,85.4,44.2,8,23.7,33.8,18.5,24.1,76.6,11.5,33.1,44.6,22.7,14.7,7.4,4.8,6.3,21,20.9,-3.1,15.7,13.3,14.2,45.9,16.8,12.1,13,43.1
2016,SAC,33,49,0.402,48.3,106.6,40,86.4,46.4,8,22.4,35.9,18.5,25.5,72.5,10.6,33.7,44.2,24.5,16.2,8.9,4.5,5.3,20.4,22,-2.5,17.5,13.0,17.3,49.5,18.6,13.6,15,43.6
2016,NY,32,50,0.39,48.3,98.4,36.9,84,43.9,7.4,21.5,34.6,17.2,21.4,80.5,10.4,34,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,-2.7,11.8,13.1,8.4,35.8,15.4,12.7,12.8,43.1
2016,NO,30,52,0.366,48.2,102.7,38.5,85.9,44.8,8.6,23.8,36,17.3,22.2,77.6,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,-3.8,15.0,11.5,12.4,41.4,14.9,11.3,11.7,43.2
2016,MIN,29,53,0.354,48.5,102.4,37.7,81.3,46.4,5.5,16.4,33.8,21.4,27,79.2,10,31.5,41.6,23.4,15,8,4.6,5.2,20.7,21.6,-3.5,16.4,13.0,13.6,44.1,17.8,13.2,13.4,46.1
2016,PHX,23,59,0.28,48.1,100.9,37.2,85.6,43.5,9,25.8,34.8,17.5,23.2,75.1,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,-6.7,16.5,14.0,14.4,41.4,20.2,12.6,17.3,43.8
2016,BKN,21,61,0.256,48.2,98.6,38.2,84.4,45.3,6.5,18.4,35.2,15.7,20.7,75.7,10.5,31.9,42.4,22.3,14.8,7.6,4,5.2,18,18.4,-7.4,15.0,12.6,11.5,46.2,18.3,12.1,14.5,47.9
2016,LAL,17,65,0.207,48.1,97.3,35.1,84.8,41.4,7.8,24.6,31.7,19.3,24.7,78.1,10.7,32.3,43,18,13.7,7.2,4.1,5.6,20.3,19.2,-9.6,13.6,13.0,12.2,38.1,16.5,14.3,17,47.8
2016,PHI,10,72,0.122,48.3,97.4,36.2,84,43.1,9.3,27.5,33.9,15.7,22.6,69.4,9.5,31.8,41.2,21.5,16.4,8.3,6,5.7,21.7,19.2,-10.2,16.5,11.7,12.2,43.2,20,14.7,16.7,45.6
2015,GS,67,15,0.817,48.1,110,41.6,87,47.8,10.8,27,39.8,16,20.8,76.8,10.4,34.3,44.7,27.4,14.5,9.3,6,3.6,19.9,18.8,10.1,19.7,12.5,20.9,45.3,15.2,14.2,13.9,41.6
2015,ATL,60,22,0.732,48.1,102.5,38.1,81.7,46.6,10,26.2,38,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4,18.3,11.0,13.3,41.4,15.7,14.2,11.2,39.4
2015,HOU,56,26,0.683,48.3,103.9,37,83.3,44.4,11.4,32.7,34.8,18.6,26,71.5,11.7,32,43.7,22.2,16.7,9.5,5,5.3,22,21.1,3.4,18.9,13.6,18.7,45.3,18.3,14,15.3,44.1
2015,LAC,56,26,0.683,48.1,106.7,39.4,83.3,47.3,10.1,26.9,37.6,17.9,25.2,71,9.6,33.1,42.6,24.8,12.3,7.8,5,3,21.3,21.5,6.6,15.7,12.5,14.2,37.4,14.9,12.8,12.3,38.8
2015,MEM,55,27,0.671,48.5,98.3,37.8,82.5,45.8,5.2,15.2,33.9,17.6,22.8,77.3,10.4,32.1,42.6,21.7,13.3,8.5,4.2,5.2,19.1,20.3,3.2,16.9,12.9,11.7,47.1,14.1,11.6,13.4,39
2015,SA,55,27,0.671,48.7,103.2,39.1,83.6,46.8,8.3,22.5,36.7,16.7,21.4,78,9.8,33.8,43.6,24.4,14,8,5.4,4.4,19.1,19.7,6.2,16.1,12.1,11.0,45.0,15.1,11.9,14.1,42.5
2015,CLE,53,29,0.646,48.2,103.1,37.7,82.2,45.8,10.1,27.5,36.7,17.7,23.6,75.1,11.1,31.9,43,22.1,14.3,7.4,4.1,4.5,18.4,20.5,4.5,16.0,12.7,11.3,41.0,16.2,12.4,11.8,42.7
2015,POR,51,31,0.622,48.4,102.8,38.7,86,45,9.8,27.2,36.2,15.5,19.4,80.1,10.7,35.1,45.9,21.9,13.6,6.4,4.5,3.6,18.2,18.7,4.2,14.1,13.4,10.1,37.9,15.1,13.8,13.3,43.1
2015,CHI,50,32,0.61,48.5,100.8,36.6,82.9,44.2,7.9,22.3,35.3,19.7,25.2,78.3,11.7,34,45.7,21.7,14,6.3,5.8,5.4,18.2,21.2,3,13.7,13.8,11.0,41.0,15.3,13.2,13,40.8
2015,DAL,50,32,0.61,48.5,105.2,39.7,85.8,46.3,8.9,25.4,35.2,16.9,22.5,75.2,10.5,31.8,42.3,22.5,13,8.1,4.5,3.8,20,22.1,2.9,19.3,13.1,16.0,42.7,15.2,14,15.9,40.9
