Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,294,Chuck Hayes,61,12.3,0.468,16.7,15.8,9.8,10.5,21.8,16.1,10.04,-16.5,-0.5
2014,TOR,48,34,0.585,26-15,22-19,11-5,32-20,101.3,98,3.2,324,John Salmons,78,22.1,0.462,23.1,8.5,13.3,1.3,9.6,5.5,7.81,-69.2,-2.3
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,,Joakim Noah,80,35.3,0.531,27.4,12.3,18.9,11.6,24.5,18.2,20.06,398.3,13.3
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,98,D.J. Augustin,71,27.3,0.569,24.9,10,22.6,0.9,6.7,3.8,16.22,151,5
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,,Taj Gibson,82,28.7,0.524,7.2,11.9,21.2,9.8,17.1,13.5,16.09,161,5.4
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,111,Jimmer Fredette,49,10.6,0.578,18.4,13.8,25.9,1.7,9.7,5.7,15.88,37.8,1.3
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,134,Luol Deng,63,35.1,0.517,14.4,8.9,24,5,13.5,9.2,15.22,155.8,5.2
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,152,Carlos Boozer,76,28.2,0.489,8.8,11.5,24.4,7.4,25.9,16.8,14.48,95.2,3.2
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,186,Jimmy Butler,67,38.7,0.522,15.6,9.1,16.1,3.9,10.5,7.2,13.57,118.7,4
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,223,Mike Dunleavy,82,31.5,0.549,16.3,9.5,16.3,2.1,13,7.6,12.62,81.6,2.7
2014,CHI,48,34,0.585,27-14,21-20,11-5,35-17,93.7,91.8,1.9,272,Cartier Martin,59,14.7,0.562,9.2,9.5,15.8,1.7,12.8,7.3,11.05,7.1,0.2
