Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,466,Earl Watson,24,6.7,0.47,48.5,29.4,9.6,3.4,6.6,5,2.1,-21.4,-0.7
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,12,Stephen Curry,78,36.5,0.61,26.7,11.8,28.2,1.8,10.9,6.4,24.13,557.6,18.6
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,42,David Lee,69,33.2,0.566,10.4,10.8,22.4,8.8,21.6,15.3,19.21,263.2,8.8
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,82,Andrew Bogut,67,26.4,0.61,18.3,15.8,11.9,11.4,29.7,20.7,17.11,171.8,5.7
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,85,Hilton Armstrong,15,6.5,0.48,13.5,16.2,13.6,21.8,31,26.5,16.98,7.9,0.3
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,135,MarShon Brooks,35,9,0.551,12.9,12.4,21.2,0,0,0,15.58,24,0.8
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,,Jermaine O'Neal,44,20.1,0.57,6.5,13.6,16.2,10.7,19.1,15,15.34,62.5,2.1
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,,Marreese Speights,79,12.4,0.507,5.3,11,23,11.4,20.6,16.1,15.22,54.5,1.8
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,172,Jordan Crawford,81,23,0.516,22,10.5,22.4,1.7,9.4,5.5,14.4,108.2,3.6
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,,Klay Thompson,81,35.4,0.555,10.9,8.2,20.9,1.5,7.9,4.7,14.32,163.3,5.4
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,204,Andre Iguodala,63,32.4,0.57,29.9,11.4,13.5,2.9,12.6,7.8,13.71,97.7,3.3
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,,Draymond Green,82,21.9,0.498,20.1,12,14.3,5.3,19.3,12.4,12.73,59.8,2
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,308,Kent Bazemore,67,13.6,0.515,16.2,14.1,21.5,1.2,12.6,6.9,11.28,10.6,0.4
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,323,Steve Blake,55,27.2,0.508,39.3,13.1,12.1,0.9,10.4,5.7,11.01,0.2,0
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,332,Dewayne Dedmon,31,12.6,0.5,4.2,15,12.3,0,0,0,10.77,1,0
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,356,Harrison Barnes,78,28.3,0.486,12.1,8.8,15.6,3.3,11.9,7.7,9.85,-21.3,-0.7
